code,name,population,area,type,level,lat,lon
30636,Tattendorf,1261,14.3513,Gemeinde,6,47.96,16.3
30637,Teesdorf,1600,7.305,Gemeinde,6,47.95,16.28
30639,Traiskirchen,15808,29.0721,Gemeinde,6,48.02,16.3
30641,Trumau,2626,18.5733,Gemeinde,6,48.0,16.34
30645,Weissenbach an der Triesting,1684,15.9297,Gemeinde,6,47.98,16.04
30646,Blumau-Neurißhof,1719,4.3314,Gemeinde,6,47.92,16.3
30701,Au am Leithaberge,906,16.7112,Gemeinde,6,47.92,16.55
30702,Bad Deutsch-Altenburg,1380,12.5694,Gemeinde,6,48.13,16.9
30703,Berg,671,9.4588,Gemeinde,6,48.1,17.03
30704,Bruck an der Leitha,7554,23.6902,Gemeinde,6,48.03,16.78
30706,Enzersdorf an der Fischa,2826,31.3887,Gemeinde,6,48.08,16.61
30708,Göttlesbrunn-Arbesthal,1361,26.2278,Gemeinde,6,48.06,16.72
30709,Götzendorf an der Leitha,1909,25.3788,Gemeinde,6,48.01,16.58
30710,Hainburg an der Donau,5628,25.046,Gemeinde,6,48.15,16.94
30711,Haslau-Maria Ellend,1539,24.8027,Gemeinde,6,48.11,16.7
30712,Höflein,1137,22.3772,Gemeinde,6,48.07,16.78
30713,Hof am Leithaberge,1412,21.9938,Gemeinde,6,47.95,16.58
30715,Hundsheim,567,13.4248,Gemeinde,6,48.12,16.93
30716,Mannersdorf am Leithagebirge,3747,29.8996,Gemeinde,6,47.97,16.6
30718,Petronell-Carnuntum,1187,25.3625,Gemeinde,6,48.11,16.87
30719,Prellenkirchen,1326,41.5569,Gemeinde,6,48.08,16.96
30721,Rohrau,1531,20.4924,Gemeinde,6,48.07,16.85
30722,Scharndorf,1063,25.8438,Gemeinde,6,48.09,16.8
30724,Sommerein,1855,41.5306,Gemeinde,6,47.99,16.66
30726,Trautmannsdorf an der Leitha,2701,35.4154,Gemeinde,6,48.02,16.64
30728,Wolfsthal,728,21.7777,Gemeinde,6,48.13,17.0
30801,Aderklaa,185,8.6289,Gemeinde,6,48.28,16.53
30802,Andlersdorf,119,5.9033,Gemeinde,6,48.18,16.67
30803,Angern an der March,3303,38.1611,Gemeinde,6,48.38,16.83
30804,Auersthal,1854,15.1857,Gemeinde,6,48.37,16.63
30805,Bad Pirawarth,1521,25.4244,Gemeinde,6,48.45,16.59
30808,Deutsch-Wagram,7011,30.6061,Gemeinde,6,48.3,16.56
30810,Drösing,1168,29.5075,Gemeinde,6,48.54,16.9
30811,Dürnkrut,2248,30.3935,Gemeinde,6,48.48,16.85
30812,Ebenthal,824,18.1407,Gemeinde,6,48.43,16.78
30813,Eckartsau,1136,48.9784,Gemeinde,6,48.14,16.8
30814,Engelhartstetten,1877,65.6598,Gemeinde,6,48.18,16.89
30817,Gänserndorf,8764,30.5622,Gemeinde,6,48.34,16.72
30819,Glinzendorf,236,10.4344,Gemeinde,6,48.25,16.64
